Овощной суп-пюре,27,2,2,1
Суп грибной с перловкой,48,1,8,2
Тосты с ветчиной и сыром,287,13,26,14
Салат свежий микс со шпинатом Зелена країна,14,1,2,0.5
тушеная капуста с куриным филе,86,13,3,2
Пшенка на воде,122,3,17,1
суп гречневый без мяса,43,3,5,1
капуста цветная тушёная,62,1,10,1
Чашка супа сырный суп с сухариками Knorr кнорр,406,8,55,17
Шаверма,156,11,24,6
Хинкали с говядиной и свининой,247,10,27,11
Омлет с сосисками,132,7,4,10
картошка фри маленькая MacDonalds,385,5,29,18
крупа перловая Увелка,310,10,61,1
Пшенная каша на воде,91,3,18,0.73
Картофельная бабка,101,5,15,3
"Тыквенный суп пюре (тыква, морковь, лук)",40,1,6,2
Картофельные чипсы соломкой со вкусом сметаны и специй Pomsticks,503,6,53,29
"Картофель по-деревенски, дольки.",330,4,29,23
Хот-дог,320,9,27,20
Салат свекольный!,60,2,8,3
Яичная лапша вареная,148,5,29,1
Гуляш из свинины (нежирной),87,5,6,5
Вермишель быстрого приготовления на домашнем бульоне с грибами Роллтон Rollton,412,8,52,19
творожная масса с курагой 23%,340,8,30,23
Мексиканские Лепешки Tortillas,280,7,46,7
Рыбный бульон,16,2,0.4,0.6
Салат греческий с брынзой,83,3,3,7
Цветная капуста с яйцом,65,4,5,4
Хлеб жареный.,406,11,57,18
 европейские постный АВС,200,0,4,20
Тефтели с рисом,201,7,9,16
Куриное филе запеченное с овощами.,114,20,2,2
Бульон свиной,42,6,0,2
Бешбармак,160,9,17,5
Шаурма с говядиной,189,7,12,15
Колдуны с мясным фаршем,151,6,16,7
Каша 5 злаков на молоке,125,4,20,4
Багета с курицей Гама,281,17,28,11
Онигири Тунец Фуджи,113,4,21,1
Куриный фарш жареный с овощами,111,12,3,6
Суши лосось классика,152,11,13,6
Чикен ролл Макдональдс,158,9,26,5
салат пекинская капуста огурец сметана,44,1,2,3
лаваш с колбасой и сыром,333,15,15,23
Зразы картофельные,145,17,2,8
"Пицца с сыром, помидорами и грибами",119,8,14,3
Суп-харчо,93,3,5,6
пюре с котлетой,138,4,14,8
Макороны по Флотски,290,12,27,14
Хлеб Маг десертный,310,8,59,5
Тушенная куриная грудка с грибами в сметане,110,13,2,6
Оливье со сметаной,105,5,10,7
пица ветчина и грибы,238,12,33,9
мясо тушеное с овощами,126,9,5,9
курица тушёная с луком и морковью,131,10,0.9,10
Рулет из лаваша с крабовыми палочками,190,7,17,7
Лазанья с фаршем и лавашом,221,15,8,15
Манка Шебекинская,350,13,72,1
Пицца с курицей и грибами,300,12,29,14
Блины со сметаной,254,18,6,18
Котлеты сливочные с сыром Петруха мастер,200,14,7,13
ролини с курицей,215,7,23,11
сыр плавленый сливочный Витако,305,10,5,27
Картошка тушеная с овощами,84,2,10,3
Салат из свеклы со сметаной и чесноком,55,2,10,0.92
Блины с творогом Морозко,211,7,34,6
"'"Блины с ветчиной и сыром '"'"С пылу с жару'"'"'"",140,6,18,6
Блины с курицей и грибами,178,12,22,9
шашлык из грудки куриной,108,20,3,2
суп-лапша Чан Рамен со вкусом острой говядины Доширак,437,8,60,18
Блины замороженные с куриным мясом Levada,225,8,23,11
Пюре картофельное быстрого приготовления со вкусом мяса Доширак,390,8,71,8
Голубцы с куриным фаршем,112,8,5,6
Vорская капуста Fish House,50,0.5,2,4
Пирог с капустой и яйцом,177,5,23,7
Манты из говядины с тыквой,168,8,24,5
Борщ с индейкой,60,4,7,2
гречка с котлетой,300,15,46,6
чипсы Луковые кольца.,360,5,47,17
Цветная капуста запеченная с сыром,85,6,3,6
цветная капуста на пару,30,2,5,0
Суп куриный с гречкой,57,4,8,1
Грибы фаршированные фаршем и сыром,91,12,0.76,4
Салат из свежих помидоров,45,0.99,3,2
Запеканка с курицей и брокколи,103,13,2,5
Сырный суп с грибами и курицей,82,8,1,5
Гренки,396,9,65,10
Суп с рисом и картофелем,52,1,10,0.96
капуста по-белорусски Leor,45,1,6,2
Блины с мясом С пылу с Жару,140,6,19,6
Каша овсяная абрикос Ясно Солнышко,360,9,66,4
Сырный суп с грибами и картофелем,44,5,2,2
Морская капуста с крабовым мясом Fish House,251,2,3,26
каша рисовая с маслом,119,2,16,5
Суп быстрого приготовления куриный с крутонами Soupen,442,4,0,26
морковка по-корейски Чудова марка,114,0.7,9,8
Салат Оливье Ручна Робота,189,6,8,14
Капуста тушенная с картошкой,68,2,9,3
Чашка супа харчо с сухариками Knorr,340,7,59,8
Вареники с мясом,242,11,26,10
гречка с куриной грудкой,143,11,15,4
Смесь овощная овощи весенние замороженные Gusto,40,3,5,0.3
"Суп с фасолью, говядиной, картошкой",95,8,9,3
Цельнозерновой бездрожжевой заварной подовый Рижский хлеб,205,9,43,2
Суп с клецками,39,2,5,1
Багета Гурман Гама,311,11,32,17
Рыбные котлеты из минтая в духовке,105,16,6,2
капуста тушёная с овощами,35,1,4,1
Картошка с грибами вареная,65,2,10,2
"пюре яблоко,клубника,черника Heinz",60,0.4,14,0.2
красная рыба вареная,190,20,0.24,12
Филе куриное в кляре,209,17,7,12
Суп с тефтелями,53,3,3,3
